Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q16570	reviewed	ACKR1_HUMAN	Atypical chemokine receptor 1 (Duffy antigen/chemokine receptor) (Fy glycoprotein) (GpFy) (Glycoprotein D) (Plasmodium vivax receptor) (CD antigen CD234)	ACKR1 DARC FY GPD	Homo sapiens (Human)	336
O00590	reviewed	ACKR2_HUMAN	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	ACKR2 CCBP2 CCR10 CMKBR9 D6	Homo sapiens (Human)	384
P25106	reviewed	ACKR3_HUMAN	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens (Human)	362
Q9NPB9	reviewed	ACKR4_HUMAN	Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR)	ACKR4 CCBP2 CCR11 CCRL1 VSHK1	Homo sapiens (Human)	350
P18509	reviewed	PACA_HUMAN	Pituitary adenylate cyclase-activating polypeptide (PACAP) [Cleaved into: PACAP-related peptide (PRP-48); Pituitary adenylate cyclase-activating polypeptide 27 (PACAP-27) (PACAP27); Pituitary adenylate cyclase-activating polypeptide 38 (PACAP-38) (PACAP38)]	ADCYAP1	Homo sapiens (Human)	176
P41586	reviewed	PACR_HUMAN	Pituitary adenylate cyclase-activating polypeptide type I receptor (PACAP type I receptor) (PACAP-R-1) (PACAP-R1)	ADCYAP1R1	Homo sapiens (Human)	468
Q86SQ6	reviewed	AGRA1_HUMAN	Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123)	ADGRA1 GPR123 KIAA1828	Homo sapiens (Human)	560
Q96PE1	reviewed	AGRA2_HUMAN	Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5)	ADGRA2 GPR124 KIAA1531 TEM5	Homo sapiens (Human)	1338
Q8IWK6	reviewed	AGRA3_HUMAN	Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125)	ADGRA3 GPR125 UNQ556/PRO1113	Homo sapiens (Human)	1321
O14514	reviewed	AGRB1_HUMAN	Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]	ADGRB1 BAI1	Homo sapiens (Human)	1584
O60241	reviewed	AGRB2_HUMAN	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	ADGRB2 BAI2	Homo sapiens (Human)	1585
O60242	reviewed	AGRB3_HUMAN	Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3)	ADGRB3 BAI3 KIAA0550	Homo sapiens (Human)	1522
Q6QNK2	reviewed	AGRD1_HUMAN	Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25)	ADGRD1 GPR133 PGR25	Homo sapiens (Human)	874
Q7Z7M1	reviewed	AGRD2_HUMAN	Adhesion G-protein coupled receptor D2 (G-protein coupled receptor 144) (G-protein coupled receptor PGR24)	ADGRD2 GPR144 PGR24	Homo sapiens (Human)	963
Q14246	reviewed	AGRE1_HUMAN	Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor)	ADGRE1 EMR1 TM7LN3	Homo sapiens (Human)	886
Q9UHX3	reviewed	AGRE2_HUMAN	Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)	ADGRE2 EMR2	Homo sapiens (Human)	823
Q9BY15	reviewed	AGRE3_HUMAN	Adhesion G protein-coupled receptor E3 (EGF-like module receptor 3) (EGF-like module-containing mucin-like hormone receptor-like 3)	ADGRE3 EMR3 UNQ683/PRO1562	Homo sapiens (Human)	652
Q86SQ3	reviewed	AGRE4_HUMAN	Putative adhesion G protein-coupled receptor E4P (EGF-like module receptor 4) (EGF-like module-containing mucin-like hormone receptor-like 4) (G-protein coupled receptor 127) (G-protein coupled receptor PGR16)	ADGRE4P EMR4 EMR4P GPR127 PGR16	Homo sapiens (Human)	457
P48960	reviewed	AGRE5_HUMAN	Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97) [Cleaved into: Adhesion G protein-coupled receptor E5 subunit alpha; Adhesion G protein-coupled receptor E5 subunit beta]	ADGRE5 CD97	Homo sapiens (Human)	835
Q5T601	reviewed	AGRF1_HUMAN	Adhesion G-protein coupled receptor F1 (G protein-coupled receptor 110) (G protein-coupled receptor KPG_012) (G protein-coupled receptor PGR19)	ADGRF1 GPR110 PGR19	Homo sapiens (Human)	910
Q8IZF7	reviewed	AGRF2_HUMAN	Putative adhesion G protein-coupled receptor F2P (Adhesion G-protein coupled receptor F2) (G-protein coupled receptor 111) (G-protein coupled receptor PGR20)	ADGRF2P ADGRF2 GPR111 PGR20	Homo sapiens (Human)	708
Q8IZF5	reviewed	AGRF3_HUMAN	Adhesion G-protein coupled receptor F3 (G-protein coupled receptor 113) (G-protein coupled receptor PGR23)	ADGRF3 GPR113 PGR23 UNQ9196/PRO34000	Homo sapiens (Human)	1079
Q8IZF3	reviewed	AGRF4_HUMAN	Adhesion G protein-coupled receptor F4 (G-protein coupled receptor 115) (G-protein coupled receptor PGR18)	ADGRF4 GPR115 PGR18	Homo sapiens (Human)	695
Q8IZF2	reviewed	AGRF5_HUMAN	Adhesion G protein-coupled receptor F5 (G-protein coupled receptor 116)	ADGRF5 GPR116 KIAA0758	Homo sapiens (Human)	1346
Q9Y653	reviewed	AGRG1_HUMAN	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083	Homo sapiens (Human)	693
Q8IZP9	reviewed	AGRG2_HUMAN	Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6)	ADGRG2 GPR64 HE6 TM7LN2	Homo sapiens (Human)	1017
Q86Y34	reviewed	AGRG3_HUMAN	Adhesion G protein-coupled receptor G3 (G-protein coupled receptor 97) (G-protein coupled receptor PGR26)	ADGRG3 GPR97 PGR26	Homo sapiens (Human)	549
Q8IZF6	reviewed	AGRG4_HUMAN	Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112)	ADGRG4 GPR112	Homo sapiens (Human)	3080
Q8IZF4	reviewed	AGRG5_HUMAN	Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27)	ADGRG5 GPR114 PGR27 UNQ2524/PRO6017	Homo sapiens (Human)	528
Q86SQ4	reviewed	AGRG6_HUMAN	Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor) [Cleaved into: ADGRG6 N-terminal fragment (ADGRG6-NTF); ADGRG6 C-terminal fragment (ADGRG6-CTF)]	ADGRG6 DREG GPR126 VIGR	Homo sapiens (Human)	1221
